Region,Location,Sublocation,Trap Component,Suggestion,LLL name
Bristle Woods,Forbidden Grove,*,Weapon,Grand Arcanum Trap,grand_arcanum_weapon
Bristle Woods,Forbidden Grove,*,Base,Runic Base,runic_base
Bristle Woods,Forbidden Grove,*,Bait,Ancient,ancient_cheese
Bristle Woods,Acolyte Realm,*,Weapon,Tarannosaurus Rex Trap,tarannosaurus_rex_weapon
Bristle Woods,Acolyte Realm,*,Weapon,Ancient Box Trap,ancient_box_trap_weapon
Bristle Woods,Acolyte Realm,*,Bait,Runic,runic_cheese
Rodentia,S.S. Huntington III,*,Bait,Gouda Cheese,gouda_cheese
Rodentia,Seasonal Garden,*,Bait,Gouda Cheese,gouda_cheese
Rodentia,Seasonal Garden,*,Charm,Amplifier Charm,amplifier_trinket
Rodentia,Seasonal Garden,*,Base,Seasonal Base,seasonal_base
Rodentia,Zugzwang's Tower,*,Weapon,Technic Pawn Pincher,technic_low_weapon
Rodentia,Zugzwang's Tower,*,Weapon,Mystic Pawn Pincher,mystic_low_weapon
Rodentia,Zugzwang's Tower,*,Charm,Rook Crumble Charm,rook_crumble_trinket
Rodentia,Zugzwang's Tower,*,Charm,Uncharged Scholar Charm,library_boss_uncharged_trinket
Rodentia,Zugzwang's Tower,*,Bait,Gouda Cheese,gouda_cheese
Rodentia,Zugzwang's Tower,*,Bait,Checkmate,checkmate_cheese
Rodentia,Crystal Library,*,Weapon,Zurreal's Folly,zurreals_folly_weapon
Rodentia,Crystal Library,*,Charm,Scholar Charm,library_boss_trinket
Rodentia,Crystal Library,*,Bait,Gouda,gouda_cheese
Rodentia,Iceberg,*,Weapon,Steam Laser Mk. III,steam_laser_mk_iii_weapon
Rodentia,Iceberg,*,Charm,Sticky Charm,sticky_trinket
Rodentia,Iceberg,*,Charm,Wax Charm,wax_trinket
Rodentia,Iceberg,*,Bait,Gouda,gouda_cheese
Rodentia,Iceberg,Treacherous Tunnels,Base,Magnet,magnet_base
Rodentia,Iceberg,Brutal Bulwark,Base,Spiked,spiked_base
Rodentia,Iceberg,Bombing Run,Base,Remote Detonator,remote_detonator_base
Rodentia,Iceberg,The Mad Depths,Base,Hearthstone,hearthstone_base
Rodentia,Iceberg,Icewing's Lair,Base,Deep Freeze Base,deep_freeze_base
Rodentia,Iceberg,Hidden Depths,Base,Deep Freeze Base,deep_freeze_base
Rodentia,Iceberg,The Deep Lair,Base,Deep Freeze Base,deep_freeze_base
Tribal Isles,Cape Clawed,*,Base,Tiki Base,tiki_base
Tribal Isles,Cape Clawed,*,Bait,Crunchy,crunchy_cheese
Tribal Isles,Cape Clawed,*,Bait,Gumbo,gumbo_cheese
Tribal Isles,Cape Clawed,*,Bait,Shell,shell_cheese
Tribal Isles,Elub Shore,*,Base,Rift Base,rift_base
Tribal Isles,Elub Shore,*,Base,Snake Jade Base,snake_jade_base
Tribal Isles,Elub Shore,*,Base,Tiki Base,tiki_base
Tribal Isles,Elub Shore,*,Charm,Elub Power Charm,elub_power_trinket
Tribal Isles,Elub Shore,*,Charm,Ancient Charm,ancient_trinket
Tribal Isles,Elub Shore,*,Bait,Shell,shell_cheese
Tribal Isles,Elub Shore,*,Bait,Gouda,gouda_cheese
Tribal Isles,Nerg Plains,*,Base,Rift Base,rift_base
Tribal Isles,Nerg Plains,*,Base,Snake Jade Base,snake_jade_base
Tribal Isles,Nerg Plains,*,Base,Tiki Base,tiki_base
Tribal Isles,Nerg Plains,*,Charm,Nerg Power Charm,nerg_power_trinket
Tribal Isles,Nerg Plains,*,Charm,Ancient Charm,ancient_trinket
Tribal Isles,Nerg Plains,*,Bait,Gumbo,gumbo_cheese
Tribal Isles,Nerg Plains,*,Bait,Gouda,gouda_cheese
Tribal Isles,Derr Dunes,*,Base,Rift Base,rift_base
Tribal Isles,Derr Dunes,*,Base,Snake Jade Base,snake_jade_base
Tribal Isles,Derr Dunes,*,Base,Tiki Base,tiki_base
Tribal Isles,Derr Dunes,*,Charm,Derr Power Charm,derr_power_trinket
Tribal Isles,Derr Dunes,*,Charm,Ancient Charm,ancient_trinket
Tribal Isles,Derr Dunes,*,Bait,Crunchy,crunchy_cheese
Tribal Isles,Derr Dunes,*,Bait,Gouda,gouda_cheese
Tribal Isles,Jungle of Dread,*,Weapon,Cackle Lantern Trap,cackle_lantern_weapon
Tribal Isles,Jungle of Dread,*,Charm,Dreaded Charm,dreaded_trinket
Tribal Isles,Jungle of Dread,*,Charm,Cackle Charm,cackle_trinket
Tribal Isles,Jungle of Dread,*,Bait,Creamy Havarti,creamy_havarti_cheese
Tribal Isles,Jungle of Dread,*,Bait,Crunchy Havarti,crunchy_havarti_cheese
Tribal Isles,Jungle of Dread,*,Bait,Magical Havarti,magical_havarti_cheese
Tribal Isles,Jungle of Dread,*,Bait,Pungent Havarti,pungent_havarti_cheese
Tribal Isles,Jungle of Dread,*,Bait,Spicy Havarti,spicy_havarti_cheese
Tribal Isles,Jungle of Dread,*,Bait,Sweet Havarti,sweet_havarti_cheese
Tribal Isles,Jungle of Dread,*,Bait,Gouda,gouda_cheese
Tribal Isles,Dracano,*,Weapon,Ice Maiden,ice_maiden_weapon
Tribal Isles,Dracano,*,Base,Golden Tournament,champions_gold_base
Tribal Isles,Dracano,*,Base,Rift,rift_base
Tribal Isles,Dracano,*,Base,Snake Jade,snake_jade_base
Tribal Isles,Dracano,*,Charm,Dragonbane,dragonbane_trinket
Tribal Isles,Dracano,*,Bait,Inferno Havarti,inferno_havarti_cheese
Tribal Isles,Balack's Cove,*,Weapon,Nutcracker Nuisance Trap,nutcracker_winter_weapon
Tribal Isles,Balack's Cove,*,Weapon,Tarannosaurus Rex Trap,tarannosaurus_rex_weapon
Tribal Isles,Balack's Cove,*,Charm,Empowered Anchor Charm,anchor_trinket
Tribal Isles,Balack's Cove,*,Bait,Vengeful Vanilla Stilton,vengeful_vanilla_stilton_cheese
Tribal Isles,Balack's Cove,*,Bait,Vanilla Stilton,vanilla_stilton_cheese
Sandtail Desert,Fiery Warpath,*,Weapon,Chrome Monstrobot,chrome_monstrobot_weapon
Sandtail Desert,Fiery Warpath,*,Charm,Flamebane Charm,flamebane_trinket
Sandtail Desert,Fiery Warpath,*,Charm,Monger Charm,monger_trinket
Sandtail Desert,Fiery Warpath,*,Bait,Gouda,gouda_cheese
Sandtail Desert,Muridae Market,*,Charm,Artisan,artisan_trinket
Sandtail Desert,Muridae Market,*,Bait,Gouda Cheese,gouda_cheese
Sandtail Desert,Living Garden,*,Charm,Double Sponge Charm,double_sponge_trinket
Sandtail Desert,Living Garden,*,Charm,Sponge Charm,sponge_trinket
Sandtail Desert,Living Garden,*,Bait,Gouda Cheese,gouda_cheese
Sandtail Desert,Living Garden,*,Bait,Duskshade Camembert,duskshade_camembert_cheese
Sandtail Desert,Twisted Garden,*,Base,Rift Base,rift_base
Sandtail Desert,Twisted Garden,*,Weapon,Phantasmic Oasis Trap,phantasmic_oasis_weapon
Sandtail Desert,Twisted Garden,*,Charm,Shattering Charm,shattering_trinket
Sandtail Desert,Twisted Garden,*,Charm,Red Double Sponge Charm,red_double_sponge_trinket
Sandtail Desert,Twisted Garden,*,Charm,Yellow Double Sponge Charm,yellow_double_sponge_trinket
Sandtail Desert,Twisted Garden,*,Charm,Red Sponge Charm,red_sponge_trinket
Sandtail Desert,Twisted Garden,*,Charm,Yellow Sponge Charm,yellow_sponge_trinket
Sandtail Desert,Twisted Garden,*,Charm,Ancient Charm,ancient_trinket
Sandtail Desert,Twisted Garden,*,Bait,Duskshade Camembert,duskshade_camembert_cheese
Sandtail Desert,Twisted Garden,*,Bait,Lunaria Camembert,lunaria_camembert_cheese
Sandtail Desert,Lost City,*,Charm,Searcher Charm,searcher_trinket
Sandtail Desert,Lost City,*,Charm,Safeguard Charm,safeguard_trinket
Sandtail Desert,Lost City,*,Bait,Dewthief Camembert,dewthief_camembert_cheese
Sandtail Desert,Cursed City,*,Charm,Shattering Charm,shattering_trinket
Sandtail Desert,Cursed City,*,Charm,Bravery Charm,bravery_trinket
Sandtail Desert,Cursed City,*,Charm,Shine Charm,shine_trinket
Sandtail Desert,Cursed City,*,Charm,Clarity Charm,clarity_trinket
Sandtail Desert,Cursed City,*,Charm,Safeguard Charm,safeguard_trinket
Sandtail Desert,Cursed City,*,Bait,Graveblossom Camembert,graveblossom_camembert_cheese
Sandtail Desert,Sand Dunes,*,Charm,Grubling Chow Charm,grubling_chow_trinket
Sandtail Desert,Sand Dunes,*,Charm,Grubling Bonanza Charm,grubling_bonanza_trinket
Sandtail Desert,Sand Dunes,*,Bait,Dewthief Camembert,dewthief_camembert_cheese
Sandtail Desert,Sand Crypts,*,Charm,Shattering Charm,shattering_trinket
Sandtail Desert,Sand Crypts,*,Charm,Super Salt Charm,super_salt_trinket
Sandtail Desert,Sand Crypts,*,Charm,Grub Salt Charm,grub_salt_trinket
Sandtail Desert,Sand Crypts,*,Charm,Grub Scent Charm,grub_scent_trinket
Sandtail Desert,Sand Crypts,*,Bait,Graveblossom Camembert,graveblossom_camembert_cheese
Rift Plane,Gnawnia Rift,*,Weapon,Crystal Tower,crystal_tower_weapon
Rift Plane,Gnawnia Rift,*,Base,Rift Base,rift_base
Rift Plane,Gnawnia Rift,*,Bait,Brie String Cheese,brie_string_cheese
Rift Plane,Gnawnia Rift,*,Bait,Riftiago Cheese,riftiago_cheese
Rift Plane,Gnawnia Rift,*,Bait,Resonator Cheese,gnawnia_boss_cheese
